threads, n, time, speedup, efficiency
 1,                 1000,         0.264448,         1.000000,         1.000000
 1,                10000,        17.626289,         1.000000,         1.000000
 1,               100000,      1364.884644,         1.000000,         1.000000
 1,              1000000,    112482.867188,         1.000000,         1.000000
 2,                 1000,         0.305785,         0.864817,         0.432408
 2,                10000,        11.497765,         1.533019,         0.766509
 2,               100000,       885.811340,         1.540830,         0.770415
 2,              1000000,     73081.398438,         1.539145,         0.769572
 5,                 1000,         0.254686,         1.038329,         0.207666
 5,                10000,         4.914455,         3.586622,         0.717324
 5,               100000,       359.098999,         3.800859,         0.760172
 5,              1000000,     29827.796875,         3.771075,         0.754215
10,                 1000,         0.363506,         0.727493,         0.072749
10,                10000,         5.294997,         3.328857,         0.332886
10,               100000,       218.268890,         6.253226,         0.625323
10,              1000000,     17041.791016,         6.600413,         0.660041
